Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,2069833,0,0.00,0,0.00,15.55,2039712,30121
VXX,1681454,0,0.00,0,0.00,20.61,1633420,48034
ARKG,1070405,0,0.00,0,0.00,76.66,1066110,4295
USMV,633469,0,0.00,0,0.00,77.87,626513,6956
IEFA,543925,0,0.00,0,0.00,77.01,538702,5223
RSX,499636,0,0.00,0,0.00,31.98,494333,5303
ITB,388095,0,0.00,0,0.00,71.71,384726,3369
INDA,343969,0,0.00,0,0.00,49.51,339820,4149
EZU,312483,0,0.00,0,0.00,50.86,312331,152
IGV,220682,0,0.00,0,0.00,439.03,218741,1941
PAVE,199676,0,0.00,0,0.00,28.13,191871,7805
EFV,195560,0,0.00,0,0.00,52.22,192384,3176
MTUM,193795,0,0.00,0,0.00,193.00,193549,246
VIXY,176671,0,0.00,0,0.00,16.80,168698,7973
VLUE,151448,0,0.00,0,0.00,104.74,148027,3421
CBOE,147332,0,0.00,0,0.00,135.07,144639,2693
GOVT,140069,0,0.00,0,0.00,26.48,139020,1049
ARKQ,126047,0,0.00,0,0.00,87.42,126025,22
USHY,123500,0,0.00,0,0.00,41.16,123050,450
SVXY,119142,0,0.00,0,0.00,62.80,110777,8365
ECH,114828,0,0.00,0,0.00,25.25,82345,32483
JPST,96936,0,0.00,0,0.00,50.58,96936,0
IYZ,85645,0,0.00,0,0.00,32.75,83040,2605
QUAL,81481,0,0.00,0,0.00,142.42,80151,1330
EFG,80315,0,0.00,0,0.00,111.99,72985,7330
MOAT,65652,0,0.00,0,0.00,76.64,64512,1140
IGE,64632,0,0.00,0,0.00,32.24,64632,0
KAPR,62766,0,0.00,0,0.00,28.18,62766,0
BBIN,61660,0,0.00,0,0.00,61.03,61550,110
IDV,54020,0,0.00,0,0.00,31.18,54020,0
BBEU,53203,0,0.00,0,0.00,60.43,52651,552
FCPI,46992,0,0.00,0,0.00,33.03,46992,0
REM,45802,0,0.00,0,0.00,37.61,45702,100
BBJP,41197,0,0.00,0,0.00,57.99,33924,7273
PICK,40311,0,0.00,0,0.00,41.76,39010,1301
EFAV,39217,0,0.00,0,0.00,77.19,38456,761
RYLD,37809,0,0.00,0,0.00,25.48,36959,850
ICSH,36025,0,0.00,0,0.00,50.43,33925,2100
FLOT,35881,0,0.00,0,0.00,50.77,35881,0
VNM,31906,0,0.00,0,0.00,20.35,31740,166
IYT,31329,0,0.00,0,0.00,273.97,30930,399
ARKX,30347,0,0.00,0,0.00,20.44,29995,352
ITA,28068,0,0.00,0,0.00,104.62,27681,387
NOBL,27947,0,0.00,0,0.00,94.87,27436,511
BBAX,27858,0,0.00,0,0.00,56.68,26958,900
BBCA,26449,0,0.00,0,0.00,68.23,25889,560
CEMB,24920,0,0.00,0,0.00,51.39,18920,6000
FGRO,24543,0,0.00,0,0.00,22.19,24478,65
HEFA,23897,0,0.00,0,0.00,35.74,21702,2195
NEAR,23404,0,0.00,0,0.00,50.02,22165,1239
ESGV,22913,0,0.00,0,0.00,86.36,22782,131
BUFD,21993,0,0.00,0,0.00,21.17,21993,0
BBUS,21980,0,0.00,0,0.00,84.64,21980,0
HYD,20742,0,0.00,0,0.00,61.86,20542,200
SMIN,19987,0,0.00,0,0.00,61.55,19987,0
VSGX,19150,0,0.00,0,0.00,63.75,15550,3600
SLVP,18202,0,0.00,0,0.00,13.89,18202,0
NUSC,18099,0,0.00,0,0.00,46.15,17865,234
FBCG,18054,0,0.00,0,0.00,35.39,18054,0
VUSB,17123,0,0.00,0,0.00,50.05,16523,600
OGIG,16588,0,0.00,0,0.00,56.22,16541,47
ICVT,16222,0,0.00,0,0.00,102.96,15621,601
CALF,15507,0,0.00,0,0.00,44.70,15428,79
IZRL,15116,0,0.00,0,0.00,31.55,14142,974
BMAR,14217,0,0.00,0,0.00,34.18,14217,0
KNG,13858,0,0.00,0,0.00,55.41,13858,0
COWZ,13778,0,0.00,0,0.00,45.89,13778,0
PNOV,13632,0,0.00,0,0.00,30.62,13632,0
FCTR,12746,0,0.00,0,0.00,35.73,12746,0
BUYZ,12070,0,0.00,0,0.00,51.04,12070,0
AFIF,11643,0,0.00,0,0.00,9.67,11643,0
IBML,11492,0,0.00,0,0.00,25.96,11492,0
ICF,11029,0,0.00,0,0.00,71.18,10829,200
IAGG,10845,0,0.00,0,0.00,54.97,10709,136
ACWV,10703,0,0.00,0,0.00,106.09,10703,0
QSPT,10550,0,0.00,0,0.00,20.71,10550,0
GSEW,10548,0,0.00,0,0.00,71.41,10548,0
IEO,10415,0,0.00,0,0.00,64.46,10315,100
PMAY,10286,0,0.00,0,0.00,30.28,10286,0
FLDR,9801,0,0.00,0,0.00,50.77,6906,2895
ESML,9707,0,0.00,0,0.00,41.76,8272,1435
ITM,9661,0,0.00,0,0.00,50.98,9561,100
PRNT,9543,0,0.00,0,0.00,38.59,9543,0
CNYA,9269,0,0.00,0,0.00,42.88,9069,200
JMST,8888,0,0.00,0,0.00,51.04,8888,0
FRNW,8805,0,0.00,0,0.00,28.83,5069,3736
EEMV,8687,0,0.00,0,0.00,63.14,8592,95
NULG,8350,0,0.00,0,0.00,72.61,8350,0
PAWZ,8265,0,0.00,0,0.00,82.76,8265,0
FDRV,7879,0,0.00,0,0.00,28.77,5926,1953
XMPT,7588,0,0.00,0,0.00,29.23,7588,0
NULV,7330,0,0.00,0,0.00,39.59,5330,2000
YPS,7279,0,0.00,0,0.00,24.31,7279,0
OILK,6939,0,0.00,0,0.00,57.33,6939,0
EYLD,6936,0,0.00,0,0.00,35.40,6936,0
TAIL,6895,0,0.00,0,0.00,18.08,6895,0
FPRO,6771,0,0.00,0,0.00,25.58,6771,0
IBHD,6696,0,0.00,0,0.00,24.60,6696,0
BBRE,6673,0,0.00,0,0.00,105.02,5183,1490
GVI,6661,0,0.00,0,0.00,114.48,6261,400
IFRA,6301,0,0.00,0,0.00,36.50,6300,1
IGHG,6276,0,0.00,0,0.00,75.50,6276,0
JCPB,6226,0,0.00,0,0.00,54.37,6226,0
DDLS,6088,0,0.00,0,0.00,35.53,6088,0
BJUN,5925,0,0.00,0,0.00,34.04,5925,0
BJAN,5864,0,0.00,0,0.00,36.96,5864,0
EMGF,5735,0,0.00,0,0.00,51.21,5735,0
FPFD,5667,0,0.00,0,0.00,25.39,5667,0
SMB,5648,0,0.00,0,0.00,17.92,5648,0
ATMP,5352,0,0.00,0,0.00,16.91,5352,0
SVAL,5302,0,0.00,0,0.00,32.01,5302,0
EMTL,5271,0,0.00,0,0.00,49.88,3836,1435
PSFD,5236,0,0.00,0,0.00,23.87,5236,0
BUFR,5178,0,0.00,0,0.00,23.72,5178,0
PTMC,5104,0,0.00,0,0.00,36.67,5104,0
EMHY,4952,0,0.00,0,0.00,43.47,4892,60
VOTE,4891,0,0.00,0,0.00,54.81,4762,129
TSJA,4877,0,0.00,0,0.00,29.55,4877,0
FDG,4739,0,0.00,0,0.00,87.68,3939,800
DOCT,4658,0,0.00,0,0.00,32.78,4658,0
UNOV,4640,0,0.00,0,0.00,29.35,4640,0
FMAG,4509,0,0.00,0,0.00,24.59,4509,0
LQDI,4483,0,0.00,0,0.00,30.46,4483,0
PJUN,4473,0,0.00,0,0.00,31.90,4473,0
SMMV,4447,0,0.00,0,0.00,38.77,4447,0
BNOV,4381,0,0.00,0,0.00,32.37,4381,0
FCLD,4317,0,0.00,0,0.00,27.09,1460,2857
CEFS,4226,0,0.00,0,0.00,21.79,4226,0
IQDG,4058,0,0.00,0,0.00,39.70,4058,0
KOCT,4026,0,0.00,0,0.00,27.89,4026,0
NUMG,3833,0,0.00,0,0.00,58.45,3833,0
JEMA,3760,0,0.00,0,0.00,48.24,3760,0
OMFS,3668,0,0.00,0,0.00,42.87,3668,0
WFHY,3596,0,0.00,0,0.00,52.36,3433,163
OMFL,3346,0,0.00,0,0.00,49.67,3246,100
VIXM,3306,0,0.00,0,0.00,29.86,3206,100
VFVA,3285,0,0.00,0,0.00,104.34,3085,200
ADME,3263,0,0.00,0,0.00,41.84,3263,0
DFEB,3121,0,0.00,0,0.00,34.95,3121,0
EDEN,3090,0,0.00,0,0.00,114.55,2917,173
GSST,3017,0,0.00,0,0.00,50.60,3017,0
SMMD,3012,0,0.00,0,0.00,68.77,3012,0
TOKE,2989,0,0.00,0,0.00,13.56,1704,1285
EPRF,2965,0,0.00,0,0.00,24.29,2965,0
LVHI,2956,0,0.00,0,0.00,26.17,2956,0
PTLC,2952,0,0.00,0,0.00,40.63,2952,0
REGL,2837,0,0.00,0,0.00,71.94,2748,89
IEDI,2816,0,0.00,0,0.00,46.79,2816,0
HEEM,2789,0,0.00,0,0.00,30.76,2289,500
BOB,2748,0,0.00,0,0.00,27.60,2748,0
SMDV,2738,0,0.00,0,0.00,65.19,2684,54
HYXU,2724,0,0.00,0,0.00,55.01,2724,0
GSID,2718,0,0.00,0,0.00,57.42,2718,0
SULR,2712,0,0.00,0,0.00,35.93,1112,1600
FJAN,2600,0,0.00,0,0.00,33.75,2600,0
FLQL,2598,0,0.00,0,0.00,44.95,2598,0
DRSK,2563,0,0.00,0,0.00,29.55,2563,0
VXZ,2562,0,0.00,0,0.00,25.06,2562,0
TMFC,2561,0,0.00,0,0.00,43.28,2004,557
XJR,2539,0,0.00,0,0.00,40.68,2539,0
PAUG,2508,0,0.00,0,0.00,30.08,2508,0
PJUL,2474,0,0.00,0,0.00,30.49,2474,0
QVAL,2466,0,0.00,0,0.00,36.69,2466,0
FYLD,2413,0,0.00,0,0.00,27.65,2413,0
PJAN,2402,0,0.00,0,0.00,33.10,2402,0
GOAT,2401,0,0.00,0,0.00,40.10,2051,350
VFMO,2367,0,0.00,0,0.00,139.77,2367,0
DDEC,2354,0,0.00,0,0.00,32.45,2354,0
OUSA,2349,0,0.00,0,0.00,44.16,2349,0
THY,2300,0,0.00,0,0.00,24.82,2300,0
BLKC,2298,0,0.00,0,0.00,28.67,1115,1183
FBCV,2264,0,0.00,0,0.00,29.37,1864,400
IBMN,2259,0,0.00,0,0.00,27.87,2259,0
NURE,2216,0,0.00,0,0.00,38.65,2216,0
GTIP,2182,0,0.00,0,0.00,58.17,2182,0
NUDM,2144,0,0.00,0,0.00,32.80,2144,0
